Type;Category;Family;Genus;Species;Mean_BodySize_µm;Habitat;Name;Sub-Phylum;Name_Abbreviation;Log10_BodySize
Pluricellular;Fish;Esocidae;Esox ;lucius;9,00E+05;pel/ben;Esox  lucius;vertebrate;Esxl;5.95424250943933
Pluricellular;Fish;Cyprinidae;Cyprinus;carpio;625000;ben;Cyprinus carpio;vertebrate;Cypc;5.79588001734407
Pluricellular;Fish;Percidae;Sander ;lucioperca;575000;pel/ben;Sander  lucioperca;vertebrate;Sndl;5.75966784468963
Pluricellular;Fish;Salmonidae;Salmo;trutta;525000;pel;Salmo trutta;vertebrate;Slmt;5.72015930340596
Pluricellular;Fish;Salmonidae;Salvelinus;alpinus;350000;pel/ben;Salvelinus alpinus;vertebrate;Slva;5.54406804435028
Pluricellular;Fish;Cyprinidae;Abramis ;brama;350000;ben;Abramis  brama;vertebrate;Abrb;5.54406804435028
Pluricellular;Fish;Cyprinidae;Squalius ;cephalus;350000;pel/ben;Squalius  cephalus;vertebrate;Sqlc;5.54406804435028
Pluricellular;Fish;Lotidae;Lota;lota;325000;ben;Lota lota;vertebrate;Ltlt;5.51188336097887
Pluricellular;Fish;Salmonidae;Coregonus;lavaretus;325000;pel;Coregonus lavaretus;vertebrate;Crgl;5.51188336097887
Pluricellular;Fish;Cyprinidae;Tinca;tinca;325000;ben;Tinca tinca;vertebrate;Tnct;5.51188336097887
Pluricellular;Fish;Percidae;Perca;fluviatilis;3,00E+05;pel/ben;Perca fluviatilis;vertebrate;Prcf;5.47712125471966
Pluricellular;Fish;Esocidae;Esox ;lucius;255000;pel/ben;Esox  lucius juv;vertebrate;Eslj;5.40654018043396
Pluricellular;Fish;Cyprinidae;Blicca ;bjoerkna;225000;ben;Blicca  bjoerkna;vertebrate;Blcb;5.35218251811136
Pluricellular;Fish;Ictaluridae;Ameiurus;melas;225000;ben;Ameiurus melas;vertebrate;Amrm;5.35218251811136
Pluricellular;Fish;Cyprinidae;Scardinius ;erythrophthalmus;2,00E+05;pel;Scardinius  erythrophthalmus;vertebrate;Scre;5.30102999566398
Pluricellular;Fish;Cyprinidae;Rutilus;rutilus;125000;pel/ben;Rutilus rutilus;vertebrate;Rtlr;5.09691001300806
Pluricellular;Fish;Salmonidae;Salmo;trutta;125000;pel;Salmo trutta juv;vertebrate;Sltj;5.09691001300806
Pluricellular;Fish;Cyprinidae;Alburnus ;alburnus;115000;pel;Alburnus  alburnus;vertebrate;Alba;5.06069784035361
Pluricellular;Invertebrates;Unionidae;Anodonta;cygnea;1,00E+05;ben;Anodonta cygnea;invertebrate;Andc;5
Pluricellular;Invertebrates;Unionidae;Unio;pictorum;1,00E+05;ben;Unio pictorum;invertebrate;Unpc;5
Pluricellular;Fish;Cyprinidae;Gobio;gobio;1,00E+05;ben;Gobio gobio;vertebrate;Gbgb;5
Pluricellular;Fish;Percidae;Gymnocephalus ;cernua;1,00E+05;ben;Gymnocephalus  cernua;vertebrate;Gymc;5
Pluricellular;Fish;Cottidae;Cottus;gobio;90000;ben;Cottus gobio;vertebrate;Cttg;4.95424250943933
Pluricellular;Invertebrates;Astacidae;Pacifastacus;leniusculus;87500;ben;Pacifastacus leniusculus;invertebrate;Pcfl;4.94200805302231
Pluricellular;Fish;Blenniidae;Salaria;fluviatilis;80000;ben;Salaria fluviatilis;vertebrate;Slrf;4.90308998699194
Pluricellular;Fish;Percidae;Perca;fluviatilis;75000;pel/ben;Perca fluviatilis juv;vertebrate;Prfj;4.8750612633917
Pluricellular;Fish;Centrarchidae;Lepomis ;gibbosus;70000;ben;Lepomis  gibbosus;vertebrate;Lpmg;4.84509804001426
Pluricellular;Invertebrates;Cambaridae;Orconectes;limosus;62500;ben;Orconectes limosus;invertebrate;Orcl;4.79588001734407
